9,10,6,5,3,10,2,5,7,10
1,7,3,5,9,6,3,8,1,2
7,5,4,3,2,7,6,3,10,7
3,7,1,6,7,2,7,10,8,7
4,8,4,3,10,7,4,1,7,5
10,9,5,4,1,6,7,4,3,6
4,10,7,9,7,1,7,6,7,3
4,3,2,9,8,9,1,9,5,4
8,2,6,10,6,5,8,4,8,9
5,7,10,2,4,7,8,7,9,2

# Puzzle from https://www.puzzle-hitori.com/ (10x10 Hard Hitori Puzzle ID: 6,529,113)
#
# Unique solution:
#   9	#	6	#	3	#	2	5	7	10
#   1	7	3	5	9	6	#	8	#	2
#   7	5	4	#	2	#	6	3	10	#
#   3	#	1	6	#	2	#	10	8	7
#   #	8	#	3	10	7	4	1	#	5
#   10	9	5	4	1	#	7	#	3	6
#   4	10	#	9	7	1	#	6	#	3
#   #	3	2	#	8	#	1	9	5	4
#   8	2	#	10	6	5	#	4	#	9
#   5	#	10	2	4	#	8	7	9	#
